"Source:","/home/earodriguezm/Sources/my_git/thermo-register/1.Hardware/thermo-register.kicad_sch"
"Date:","Fri 20 Jan 2023 09:53:04 AM -05"
"Tool:","Eeschema (6.0.10)"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","22"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"A1, ","1","Arduino_UNO_R3","Arduino_UNO_R3","Module:Arduino_UNO_R3","Arduino UNO Microcontroller Module, release 3",""
"C1, C10, ","2","10u","C","Capacitor_THT:C_Radial_D5.0mm_H5.0mm_P2.00mm","Unpolarized capacitor",""
"C2, C3, C4, C5, C6, C7, C8, C9, ","8","100n","C","Capacitor_THT:C_Radial_D5.0mm_H5.0mm_P2.00mm","Unpolarized capacitor",""
"D1, ","1","1N4007","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1000V 1A General Purpose Rectifier Diode, DO-41",""
"J1, ","1","Barrel_Jack_MountingPin","Barrel_Jack_MountingPin","Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal","DC Barrel Jack with a mounting pin",""
"J2, ","1","Conn_uSD card","Conn_01x06_Female","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","Conn_SSD1306","Conn_01x04_Female","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, J5, J6, ","3","Conn_MAX6675","Conn_01x05_Female","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J7, ","1","Conn_IR_sensor","Screw_Terminal_01x04","TerminalBlock_MetzConnect:TerminalBlock_MetzConnect_Type011_RT05504HBWC_1x04_P5.00mm_Horizontal","Generic screw terminal, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R1, ","1","10k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","Resistor",""
"SW1, ","1","SW_DPST","SW_DPST","Button_Switch_THT:SW_Push_2P1T_Toggle_CK_PVA1xxH1xxxxxxV2","Double Pole Single Throw (DPST) Switch",""
"U1, ","1","HW-685","HW-685","Converter_DCtoV:HW-685","",""
